-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in UTC
Location: Latitude  10.9132   Longitude 114.0614 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2022,1,1,0,282.9,12.55
2022,1,1,1,495.48,12.42
2022,1,1,2,669.55,12.32
2022,1,1,3,763.4,12.24
2022,1,1,4,805.35,12.14
2022,1,1,5,775.92,11.96
2022,1,1,6,533.85,11.73
2022,1,1,7,379.98,11.62
2022,1,1,8,222.7,11.63
2022,1,1,9,65.0,11.77
2022,1,1,10,0.0,11.98
2022,1,1,11,0.0,12.16
2022,1,1,12,0.0,12.3
2022,1,1,13,0.0,12.31
2022,1,1,14,0.0,12.27
2022,1,1,15,0.0,12.18
2022,1,1,16,0.0,12.07
2022,1,1,17,0.0,12.01
2022,1,1,18,0.0,12.03
2022,1,1,19,0.0,12.06
2022,1,1,20,0.0,12.06
2022,1,1,21,0.0,12.19
2022,1,1,22,0.0,12.25
2022,1,1,23,40.15,12.23
2022,1,2,0,167.6,12.31
2022,1,2,1,311.45,12.4
2022,1,2,2,458.38,12.3
2022,1,2,3,542.05,12.18
2022,1,2,4,626.85,12.15
2022,1,2,5,430.12,12.2
2022,1,2,6,211.9,12.35
2022,1,2,7,123.55,12.59
2022,1,2,8,61.78,12.88
2022,1,2,9,21.17,12.99
2022,1,2,10,0.0,13.0
2022,1,2,11,0.0,13.04
2022,1,2,12,0.0,13.0
2022,1,2,13,0.0,12.89
2022,1,2,14,0.0,12.67
2022,1,2,15,0.0,12.34
2022,1,2,16,0.0,12.15
2022,1,2,17,0.0,12.02
2022,1,2,18,0.0,11.86
2022,1,2,19,0.0,11.61
2022,1,2,20,0.0,11.45
2022,1,2,21,0.0,11.6
2022,1,2,22,0.0,12.0
2022,1,2,23,16.6,12.25
2022,1,3,0,66.28,12.06
2022,1,3,1,179.45,11.89
2022,1,3,2,270.7,11.86
2022,1,3,3,332.98,11.89
2022,1,3,4,289.0,11.65
2022,1,3,5,204.15,11.34
2022,1,3,6,126.57,11.14
2022,1,3,7,180.43,11.15
2022,1,3,8,100.6,11.14
2022,1,3,9,19.6,11.1
2022,1,3,10,0.0,10.86
2022,1,3,11,0.0,10.43
2022,1,3,12,0.0,10.21
2022,1,3,13,0.0,10.41
2022,1,3,14,0.0,10.65
2022,1,3,15,0.0,10.88
2022,1,3,16,0.0,11.02
2022,1,3,17,0.0,11.04
